"CancerAlliance","mcedTreated","mortality_asr","psw_mortality"
"Cheshire and Merseyside Cancer Alliance",1,275.139904966502,1
"East Midlands Cancer Alliance",1,262.473020772654,1
"East of England - North Cancer Alliance",1,247.085383790808,1
"East of England - South Cancer Alliance",0,241.775024882118,0.278174798805935
"Greater Manchester Cancer Alliance",1,283.192928370994,1
"Humber and North Yorkshire Cancer Alliance",0,266.711185256953,1.03664085377761
"Kent and Medway Cancer Alliance",1,259.562504596537,1
"Lancashire & South Cumbria Cancer Alliance",0,273.107666930335,1.45270570407548
"North Central London Cancer Alliance",0,209.671937460411,0.0511453678012134
"North East London Cancer Alliance",0,235.901964079238,0.204061238511596
"Northern Cancer Alliance",1,286.909311022951,1
"Peninsula Cancer Alliance",0,249.995356405975,0.429193557232822
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,247.272764516175,0.371771497955591
"South East London Cancer Alliance",1,244.894420651829,1
"South Yorkshire Cancer Alliance",0,285.027102528051,2.72435033678777
"Surrey and Sussex Cancer Alliance",0,239.965034374386,0.25284200357443
"Thames Valley Cancer Alliance",0,231.742043541834,0.163852429229547
"Wessex Cancer Alliance",0,246.026567644768,0.348116466294555
"West London Cancer Alliance",0,211.689183113368,0.0568883415376863
"West Midlands Cancer Alliance",1,266.721928978328,1
"West Yorkshire and Harrogate Cancer Alliance",0,268.385655418217,1.13237945974239
