"CancerAlliance","mcedTreated","pct_stage_3_4","psw_stage"
"Cheshire and Merseyside Cancer Alliance",1,0.480909480909481,1
"East Midlands Cancer Alliance",1,0.514173228346457,1
"East of England - North Cancer Alliance",1,0.475471698113208,1
"East of England - South Cancer Alliance",0,0.47241607287152,0.405865861822652
"Greater Manchester Cancer Alliance",1,0.488681279195113,1
"Humber and North Yorkshire Cancer Alliance",0,0.51002004008016,2.07338394351747
"Kent and Medway Cancer Alliance",1,0.482442748091603,1
"Lancashire & South Cumbria Cancer Alliance",0,0.51621835443038,2.71287227612086
"North Central London Cancer Alliance",0,0.43186332936035,0.0699106012911575
"North East London Cancer Alliance",0,0.466226510919248,0.310311424308988
"Northern Cancer Alliance",1,0.505454289534802,1
"Peninsula Cancer Alliance",0,0.468739438999662,0.346043371737873
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0,0.469582213535304,0.358925890837291
"South East London Cancer Alliance",1,0.480481162051748,1
"South Yorkshire Cancer Alliance",0,0.486976217440544,0.763190755983161
"Surrey and Sussex Cancer Alliance",0,0.458863126402393,0.225477510521835
"Thames Valley Cancer Alliance",0,0.457714285714286,0.214518132561772
"Wessex Cancer Alliance",0,0.470358565737052,0.371217060531851
"West London Cancer Alliance",0,0.471288866599799,0.386501157999639
"West Midlands Cancer Alliance",1,0.48755372111825,1
"West Yorkshire and Harrogate Cancer Alliance",0,0.490422266906551,0.886220659839578
